#0 ey,0 Sy,90 ey,90 Sy,45 ey,45 Sy
0,0,0,0,0,0
0.00011058,1.3435,9.28E-05,2.1779,0.00010446,2.1517
0.00022879,2.5529,0.00027833,4.0486,0.00023887,4.0017
0.00028369,3.7773,0.0004773,5.905,0.00040359,5.8375
0.00042334,4.9577,0.00060507,7.684,0.00048709,7.6252
0.00040124,6.0978,0.00082874,9.4176,0.00068696,9.3133
0.00060949,7.2256,0.00093802,11.186,0.00083024,11.156
0.00068347,8.3202,0.0012269,14.692,0.00096584,12.84
0.00069598,9.4088,0.0013764,16.46,0.0010876,14.528
0.00085098,10.476,0.0015847,18.086,0.0012133,16.255
0.0009614,11.558,0.0016772,19.772,0.0014666,19.602
0.0010396,12.629,0.0018425,21.498,0.0016124,21.239
0.0011111,13.612,0.002023,23.148,0.0017198,22.877
0.0011468,14.761,0.0020762,24.725,0.0018641,24.502
0.0012868,15.815,0.0022147,26.347,0.0019908,26.096
0.0012956,16.8,0.0023597,27.981,0.0020972,27.604
0.0013872,17.882,0.0025697,29.556,0.0022158,29.214
0.0014438,18.969,0.0026834,31.129,0.0024097,30.692
0.0015772,20.007,0.0027829,32.615,0.0025164,32.243
0.0016619,21.056,0.0029235,34.132,0.0026129,33.703
0.0017341,22.039,0.0030253,35.564,0.0027847,35.2
0.0018793,23.097,0.003182,36.921,0.0028923,36.582
0.0018776,24.124,0.003306,38.3,0.0029961,37.957
0.0018899,25.146,0.0034274,39.614,0.0031475,39.308
0.002088,26.158,0.0035418,40.82,0.0032929,40.599
0.002146,27.16,0.003758,41.98,0.0033762,41.783
0.0021588,28.17,0.0039243,43.072,0.0035215,42.958
0.0022997,29.163,0.004027,44.059,0.0037071,43.986
0.0023823,30.15,0.0041641,44.936,0.0037612,45.004
0.0024462,31.145,0.0044034,45.851,0.0039619,45.868
0.0025457,32.126,0.0045506,46.628,0.0040956,46.673
0.002615,33.103,0.00474,47.33,0.0042839,47.392
0.0026208,34.066,0.0049084,48.007,0.004429,48.051
0.0027695,35.024,0.0050821,48.597,0.0045732,48.64
0.00281,35.999,0.0053251,49.175,0.0047749,49.199
0.0028878,36.956,0.005492,49.695,0.0049501,49.686
0.003029,37.901,0.0057017,50.207,0.0051515,50.176
0.0030943,38.826,0.0059534,50.666,0.0053483,50.649
0.0030908,39.718,0.0061254,51.113,0.0055605,51.071
0.0031986,40.602,0.006368,51.52,0.0057505,51.488
0.0032932,41.482,0.0065538,51.918,0.0059667,51.855
0.0033116,42.375,0.006794,52.292,0.0061707,52.22
0.003402,43.246,0.0070486,52.647,0.0064196,52.565
0.0035126,44.093,0.0072842,52.99,0.0065976,52.928
0.0035553,44.938,0.0074936,53.306,0.0068501,53.225
0.003687,45.742,0.0077554,53.62,0.0070967,53.572
0.0036895,46.549,0.0080392,53.909,0.0073033,53.855
0.0038471,47.337,0.0082495,54.194,0.0075531,54.16
0.0039299,48.087,0.0085123,54.442,0.0077784,54.431
0.0039988,48.821,0.0087838,54.726,0.0080288,54.701
0.0040664,49.459,0.0090122,54.961,0.0082319,54.96
0.0041496,50.189,0.0093236,55.223,0.0085157,55.227
0.0042397,50.838,0.0095649,55.44,0.008745,55.469
0.0043189,51.448,0.0098647,55.71,0.0090032,55.69
0.0043882,52.033,0.010123,55.903,0.0092563,55.923
0.0044807,52.577,0.010462,56.14,0.009531,56.142
0.0045408,53.093,0.010736,56.339,0.0098118,56.363
0.0047229,53.547,0.01098,56.556,0.010117,56.569
0.0048072,53.956,0.011285,56.767,0.010332,56.786
0.0049256,54.301,0.011595,56.969,0.01063,56.97
0.0051554,54.607,0.011868,57.164,0.010884,57.184
